,Pressure,Pumping Speed (L/min)
IXL500Q,0.62215,34823.67829
IXL500Q,0.91003,35075.56746
IXL500Q,1.50541,34382.87223
IXL500Q,3.1851,32493.70343
IXL500Q,6.16211,30226.70086
IXL500Q,9.11486,27329.97536
IXL500Q,12.89259,24118.3884
IXL500Q,19.07045,20717.88455
IXL500Q,26.6743,18324.9374
IXL500Q,43.63485,15302.26731
IXL500Q,74.64571,13035.26475
IXL500Q,154.43929,10264.48383
IXL500Q,295.46537,8690.1765
IXL500Q,408.67774,7682.6198
IXL500Q,691.34473,6863.97999
IXL500Q,956.24,6863.98
IXL500R,0.00029,126.1034
IXL500R,0.00037,2143.75788
IXL500R,0.00051,4918.03279
IXL500R,0.00067,6683.48046
IXL500R,0.00092,8322.82472
IXL500R,0.00135,10907.94452
IXL500R,0.00187,13114.7541
IXL500R,0.00256,15384.61539
IXL500R,0.00343,17402.26986
IXL500R,0.00479,20428.75158
IXL500R,0.00701,23959.64691
IXL500R,0.01003,27994.95587
IXL500R,0.01372,31462.7995
IXL500R,0.02007,35435.05675
IXL500R,0.02776,38713.74527
IXL500R,0.0384,41424.96848
IXL500R,0.05744,44073.13998
IXL500R,0.08592,46216.89786
IXL500R,0.13591,48234.55234
IXL500R,0.23249,49936.9483
IXL500R,0.4022,51197.98
IXL500R,0.63622,51513.24
IXL500R,1.01773,50945.78
IXL500R,1.52234,49558.63809
IXL500R,1.96897,47982.34553
IXL500R,2.57529,44325.34679
IXL500R,3.22092,40857.50316
IXL500R,4.26014,37263.55612
IXL500R,5.69804,33480.45397
IXL500R,7.79367,29949.55864
IXL500R,11.02381,26166.4565
IXL500R,15.41927,23013.87138
IXL500R,22.55417,19987.38966
IXL500R,26.6743,18348.0454
IXL500R,36.89499,15195.46028
IXL500R,56.43667,12358.13367
IXL500R,94.40986,10151.32409
IXL500R,161.50604,8953.34174
IXL500R,267.16955,8133.66961
IXL500R,369.53991,7629.25599
IXL500R,505.44977,6872.63556
IXL500R,739.33469,6746.53216
IXL500R,945.61,6620.43
IXL600_,0.00035,86.35579
IXL600_,0.00051,1295.33679
IXL600_,0.00096,2504.31779
IXL600_,0.00157,3713.29879
IXL600_,0.0037,5094.99136
IXL600_,0.00835,6822.10708
IXL600_,0.03234,9326.42487
IXL600_,0.08733,10276.33851
IXL600_,0.35401,10362.6943
IXL600_,1.19793,9758.2038
IXL600_,3.38386,8376.51123
IXL600_,7.29029,6994.81865
IXL600_,12.53254,4317.78929
IXL600_,37.03629,1468.04836
IXL600_,72.90295,690.84629
IXL600_,196.84194,518.13472
IXL600_,424.08311,1122.62522
IXL600_,1000,1381.69
IXL750Q,0.00022,63.0517
IXL750Q,0.00035,3530.89536
IXL750Q,0.00061,6998.73902
IXL750Q,0.00112,9709.96225
IXL750Q,0.00256,13493.06442
IXL750Q,0.00464,16330.39105
IXL750Q,0.00848,20113.49323
IXL750Q,0.01716,24464.06073
IXL750Q,0.03927,28877.67993
IXL750Q,0.06074,30580.07591
IXL750Q,0.09936,31967.21337
IXL750Q,0.18178,33480.45424
IXL750Q,0.3007,34615.38489
IXL750Q,0.64338,36128.62576
IXL750Q,1.00641,36822.19449
IXL750Q,1.78041,36696.09109
IXL750Q,3.1851,36002.52236
IXL750Q,5.21031,34678.4366
IXL750Q,8.52322,32976.04062
IXL750Q,13.33255,30201.76569
IXL750Q,19.94306,26229.50841
IXL750Q,33.36167,22005.04431
IXL750Q,59.01907,18158.89044
IXL750Q,99.84034,15510.71891
IXL750Q,195.33061,13177.80591
IXL750Q,334.15019,10781.8412
IXL750Q,528.57784,8385.87649
IXL750Q,706.98489,7187.89413
IXL750Q,956.24,6935.69
IXM1200,0.00379,272.72727
IXM1200,0.00434,2090.90909
IXM1200,0.00581,4727.27273
IXM1200,0.00801,8090.90909
IXM1200,0.0126,10272.72727
IXM1200,0.02521,13000
IXM1200,0.0491,14818.18182
IXM1200,0.1093,16545.45455
IXM1200,0.30114,17090.90909
IXM1200,0.707,16545.45455
IXM1200,1.3772,15272.72727
IXM1200,2.75521,13454.54545
IXM1200,5.08819,11181.81818
IXM1200,8.00709,9090.90909
IXM1200,14.78714,6272.72727
IXM1200,31.20387,4181.81818
IXM1200,79.36224,2181.81818
IXM1200,150.52415,1181.81818
IXM1200,256.60577,636.36364
IXM1200,527.23924,363.63636
IXM600,0.0037,1
IXM600,0.0041,347.8261
IXM600,0.0069,4753.6232
IXM600,0.0136,7072.4638
IXM600,0.0345,8695.6522
IXM600,0.1,9739.1304
IXM600,0.3217,10202.8986
IXM600,1.035,9507.2464
IXM600,3.0034,8115.942
IXM600,10,5681.1594
IXM600,30.0339,3478.2609
IXM600,107.1151,1507.2464
IXM600,310.8403,579.7101
IXM600,786.1807,463.7681
JGH1000D,0.00127,18.64787
JGH1000D,0.0075,5124.52514
JGH1000D,0.01721,8495.04772
JGH1000D,0.075,13313.36301
JGH1000D,0.14248,14895.95192
JGH1000D,1.4796,11249.08096
JGH1000D,9.40637,6415.26504
JGH1000D,366.0883,898.57859
JGH1000D,695.46356,803.11101
MU100X,0.0113,1
MU100X,0.0138,10
MU100X,0.0181,100
MU100X,0.0272,464.16
MU100X,0.075,879.92
MU100X,0.0983,1000
MU100X,0.2906,1291.55
MU100X,0.75,1467.8
MU100X,7.5,1668.1
MU100X,53.4568,1136.46
MU100X,65.4994,1000
MU100X,75,938.04
MU100X,120.488,681.29
MU100X,750,599.48
MU180X,0.0113,1
MU180X,0.0138,10
MU180X,0.0181,100
MU180X,0.0272,639.08
MU180X,0.0437,1000
MU180X,0.075,1291.55
MU180X,0.2072,2154.43
MU180X,0.75,2782.56
MU180X,4.0771,3162.28
MU180X,7.5,3162.28
MU180X,15.7975,2966.35
MU180X,25.379,2782.56
MU180X,75,1668.1
MU180X,207.1275,1136.46
MU180X,750,1136.46
PS2202,0.00109,163.93443
PS2202,0.0035,9234.97268
PS2202,0.0083,17650.27322
PS2202,0.02179,24754.09836
PS2202,0.08371,32076.50273
PS2202,0.36517,35573.77049
PS2202,1.47611,31420.76503
PS2202,4.62851,24754.09836
PS2202,13.44858,18852.45902
PS2202,57.19433,10983.60656
PS2202,231.19082,5081.96721
PS2202,762.7,2677.6
SDE1203TX,0.00401,10.28986
SDE1203TX,0.0042,101.1977
SDE1203TX,0.00467,1004.77369
SDE1203TX,0.0052,3062.24051
SDE1203TX,0.00561,4075.06402
SDE1203TX,0.00605,4568.48804
SDE1203TX,0.00678,5371.46897
SDE1203TX,0.00755,6079.49677
SDE1203TX,0.00879,7216.46842
SDE1203TX,0.01008,8090.26545
SDE1203TX,0.01157,9156.66513
SDE1203TX,0.01306,10071.69066
SDE1203TX,0.01499,10973.14001
SDE1203TX,0.02227,13149.96233
SDE1203TX,0.03021,14742.20903
SDE1203TX,0.03739,15758.61688
SDE1203TX,0.0449,16370.58186
SDE1203TX,0.05269,17006.31169
SDE1203TX,0.06724,18006.49407
SDE1203TX,0.09402,18884.76938
SDE1203TX,0.1474,19805.88299
SDE1203TX,0.22244,19995.42841
SDE1203TX,0.31342,19995.42841
SDE1203TX,0.43165,19995.42841
SDE1203TX,0.59446,19618.13434
SDE1203TX,0.75286,18884.76938
SDE1203TX,0.97552,18006.49407
SDE1203TX,1.48339,16061.68508
SDE1203TX,2.27292,13531.12864
SDE1203TX,3.01323,11729.6878
SDE1203TX,4.02523,10168.07833
SDE1203TX,5.84727,8013.57428
SDE1203TX,7.51907,6751.01671
SDE1203TX,10.75741,5073.10725
SDE1203TX,13.72807,4075.06402
SDE1203TX,19.79075,3004.45904
SDE1203TX,28.09934,2531.09942
SDE1203TX,37.25161,2257.72555
SDE1203TX,51.69525,1938.59493
SDE1203TX,66.47555,1680.50382
SDE1203TX,87.45839,1470.71472
SDE1203TX,137.10647,1311.86874
SDE1203TX,221.59102,1287.11506
SDE1203TX,372.04334,1250.85757
SDE1203TX,583.24364,1227.25511
SDE1203TX,744.30653,1215.62142
SDE1220,0.0039,1
SDE1220,0.0042,10
SDE1220,0.0049,100
SDE1220,0.0056,1000
SDE1220,0.0075,5170.273
SDE1220,0.0087,6468.608
SDE1220,0.0154,10000
SDE1220,0.0284,12826.5
SDE1220,0.075,16451.91
SDE1220,0.1155,18632.46
SDE1220,0.2739,21102.03
SDE1220,0.75,21102.03
SDE1220,2.7388,16451.91
SDE1220,6.9793,10000
SDE1220,16.5505,6468.608
SDE1220,36.7476,4738.88
SDE1220,48.7036,4184.289
SDE1220,75,3471.687
SDE1220,138.2567,2543.346
SDE1220,316.2724,1982.884
SDE1220,750,1863.246
SDE603TX,0.00383,1.04713
SDE603TX,0.00426,4.36516
SDE603TX,0.00449,45.70882
SDE603TX,0.00461,331.13112
SDE603TX,0.00569,1096.4782
SDE603TX,0.0076,2089.29613
SDE603TX,0.01392,3467.36851
SDE603TX,0.02986,5495.40874
SDE603TX,0.07115,7244.3596
SDE603TX,0.2265,9120.10839
SDE603TX,0.7402,10000
SDE603TX,1.09844,9120.10839
SDE603TX,3.40568,6918.30971
SDE603TX,11.42664,3981.07171
SDE603TX,36.3727,1905.46072
SDE603TX,139.1979,1380.38427
SDE603TX,711.54787,1047.12855
SGL1000A,0.0013,18.24166
SGL1000A,0.00765,4707.92073
SGL1000A,0.01553,8858.06669
SGL1000A,0.05694,13298.71056
SGL1000A,0.18545,15930.92182
SGL1000A,0.79561,14555.43604
SGL1000A,5.47405,9695.15222
SGL1000A,44.08512,3280.69908
SGL1000A,122.66947,2185.22323
SGL1000A,721.0531,1522.76562
SGL1000A,666.69147,1568.67495
XDS35I,0.0075,16.67
XDS35I,0.075,283.33
XDS35I,0.75,550
XDS35I,7.5,600
XDS35I,75,483.33
XDS35I,750,333.33
ESA200-EC_TEST,0.00563,1
ESA200-EC_TEST,0.0069,11817.6682
ESA200-EC_TEST,0.00998,12816.63934
ESA200-EC_TEST,0.01988,15165.58336
ESA200-EC_TEST,0.03998,17201.48974
ESA200-EC_TEST,0.07005,18463.2004
ESA200-EC_TEST,0.09998,19177.07206
ESA200-EC_TEST,0.19999,19591.66866
ESA200-EC_TEST,0.4002,19591.59039
ESA200-EC_TEST,0.52686,19358.97762
ESA200-EC_TEST,0.70001,19070.45035
ESA200-EC_TEST,0.81225,18928.9894
ESA200-EC_TEST,1.00013,18608.94785
ESA200-EC_TEST,1.0335,18557.39594
ESA200-EC_TEST,1.88775,17310.47262
ESA200-EC_TEST,2.01413,16695.21504
ESA200-EC_TEST,3.6945,14411.74604
ESA200-EC_TEST,4.01175,14086.66947
ESA200-EC_TEST,7.00238,12097.17336
ESA200-EC_TEST,10.03875,10856.6795
ESA200-EC_TEST,20.27625,8163.95109
ESA200-EC_TEST,40.57875,5690.97492
ESA200-EC_TEST,70.14375,3902.75866
ESA200-EC_TEST,145.125,2950.80886
ESA200-EC_TEST,291.7125,2284.81076
ESA200-EC_TEST,488.5125,2004.56325
ESA200-EC_TEST,760,1999.99998
ESA240,0.00975,1
ESA240,0.01109,9.88171
ESA240,0.01213,97.64816
ESA240,0.01302,994.06783
ESA240,0.01528,10425.28306
ESA240,0.02301,16780.5504
ESA240,0.04139,22594.62657
ESA240,0.07717,23276.89591
ESA240,0.23675,25449.82231
ESA240,0.75267,26218.3074
ESA240,2.56943,23276.89591
ESA240,10.11326,14897.95352
ESA240,37.73648,7081.56424
ESA240,133.48967,3467.78113
ESA240,584.61454,2154.43469
ESA240,753.74378,2009
ESA300-CN,0.00982,0.95602
ESA300-CN,0.01074,264.16483
ESA300-CN,0.0114,15124.72545
ESA300-CN,0.02556,24804.54414
ESA300-CN,0.4648,29693.14848
ESA300-CN,3.44666,18938.42027
ESA300-CN,50.84287,3924.18976
ESA300-CN,377.01616,2186.97466
ESA300-CN,608.34812,1998.85481
ESA300-CN,759.9975,1998
GXS250,0.0075,16.66667
GXS250,0.00928,747.53392
GXS250,0.01201,1021.63549
GXS250,0.01815,1494.35382
GXS250,0.02887,1921.21221
GXS250,0.06941,2590.25143
GXS250,0.20513,3175.55133
GXS250,0.53285,3637.50792
GXS250,1.8383,3919.6347
GXS250,4.7751,3973.23337
GXS250,9.10112,3763.13805
GXS250,23.03861,3421.84854
GXS250,53.97643,3007.63558
GXS250,136.6361,2538.01509
GXS250,364.1965,2084.32878
GXS250,730.89801,1723.40556
GXS250,759.9375,1700
GXS450,0.00858,950.95095
GXS450,0.00984,1626.62663
GXS450,0.01327,2402.4024
GXS450,0.01632,2902.9029
GXS450,0.02151,3378.37838
GXS450,0.03037,3828.82883
GXS450,0.04488,4454.45445
GXS450,0.06789,4929.92993
GXS450,0.11001,5605.60561
GXS450,0.16262,6006.00601
GXS450,0.24596,6331.33133
GXS450,0.44713,6656.65666
GXS450,0.89112,6981.98198
GXS450,1.69617,7182.18218
GXS450,3.3036,7282.28228
GXS450,9.51092,7332.33233
GXS450,26.75925,7307.30731
GXS450,62.64094,7057.05706
GXS450,116.52229,6681.68168
GXS450,172.23688,6306.30631
GXS450,305.99208,5655.65566
GXS450,484.5933,5205.20521
GXS450,716.29932,4754.75476
iXH1820T,0.00485,333.33333
iXH1820T,0.0077,6500
iXH1820T,0.01223,11500
iXH1820T,0.02404,17333.33333
iXH1820T,0.05643,21666.66667
iXH1820T,0.1474,24500
iXH1820T,0.4766,26500
iXH1820T,0.97058,25666.66667
iXH1820T,2.36119,20833.33333
iXH1820T,4.80852,15000
iXH1820T,9.12018,9833.33333
iXH1820T,33.99632,3500
iXH1820T,146.0954,1833.33333
iXH1820T,723.79778,666.66667
EV-X100N,0.00375,1.03414
EV-X100N,0.00497,1722.46975
EV-X100N,0.00677,2849.7745
EV-X100N,0.0139,4875.80858
EV-X100N,0.0369,7053.36732
EV-X100N,0.06837,8921.48845
EV-X100N,0.16808,9226.02394
EV-X100N,0.63954,9226.02394
EV-X100N,2.83914,8921.48845
EV-X100N,10.00141,7053.36732
EV-X100N,18.06166,4122.49702
EV-X100N,33.46685,2253.04403
EV-X100N,84.41129,941.37126
EV-X100N,235.95497,343.90869
EV-X100N,415.30278,271.8957
EV-X100N,769.52366,237.73509
EV-X200N,0.00359,0.99166
EV-X200N,0.00388,4.7863
EV-X200N,0.00419,46.67571
EV-X200N,0.00463,777.8737
EV-X200N,0.00513,3283.70124
EV-X200N,0.00661,4908.05127
EV-X200N,0.00966,7335.91931
EV-X200N,0.02016,12123.73301
EV-X200N,0.04776,17524.12586
EV-X200N,0.12204,20718.75412
EV-X200N,0.46797,20718.75412
EV-X200N,1.50253,19376.38376
EV-X200N,4.94817,15848.93192
EV-X200N,8.42795,9274.12035
EV-X200N,22.65883,3630.78055
EV-X200N,48.48796,1680.56202
EV-X200N,123.91473,615.30566
EV-X200N,233.58951,348.19151
EV-X200N,308.74413,294.5038
EV-X200N,750,240.88967
EV-X300N,0.00358,1
EV-X300N,0.00369,2.63665
EV-X300N,0.00444,59.14661
EV-X300N,0.00458,695.1928
EV-X300N,0.00487,6158.48211
EV-X300N,0.00605,8171.10332
EV-X300N,0.00823,12238.24937
EV-X300N,0.01477,17604.10844
EV-X300N,0.03093,23357.21469
EV-X300N,0.07329,28585.1418
EV-X300N,0.19639,29763.51442
EV-X300N,0.49483,30990.46339
EV-X300N,1.36751,27453.42234
EV-X300N,2.95379,20691.38081
EV-X300N,5.64047,15594.89504
EV-X300N,8.95332,9223.85104
EV-X300N,13.78083,5680.49216
EV-X300N,22.55912,3498.32094
EV-X300N,43.0783,1832.98071
EV-X300N,75,1041.22326
EV-X300N,138.87363,591.46605
EV-X300N,220.43913,379.26902
EV-X300N,395.79408,285.85142
EV-X300N,779.44176,243.20075
EV-X300N(2.85Kw),0.00388,1.09568
EV-X300N(2.85Kw),0.00432,4.12173
EV-X300N(2.85Kw),0.00456,33.71148
EV-X300N(2.85Kw),0.00494,174.60774
EV-X300N(2.85Kw),0.00536,946.65226
EV-X300N(2.85Kw),0.00565,6161.44448
EV-X300N(2.85Kw),0.00781,11158.83993
EV-X300N(2.85Kw),0.0166,19306.97729
EV-X300N(2.85Kw),0.04874,26582.95001
EV-X300N(2.85Kw),0.13203,31913.04569
EV-X300N(2.85Kw),1.13854,30487.86299
EV-X300N(2.85Kw),4.03697,18444.76031
EV-X300N(2.85Kw),13.20308,8483.42898
EV-X300N(2.85Kw),28.06472,4475.0063
EV-X300N(2.85Kw),48.09266,2707.32057
EV-X300N(2.85Kw),78.09174,1637.89371
EV-X300N(2.85Kw),126.80356,946.65226
EV-X300N(2.85Kw),255.40242,455.75365
EV-X300N(2.85Kw),437.66633,302.10557
EV-X300N(2.85Kw),791.50393,251.6481
